	max_isos_sample	max_sample	annot_gene_name	annot_gene_id
5227	6.0	pgp1	CA14	ENSG00000118298.11
18944	6.0	hl60_m0	SLC12A8	ENSG00000221955.10
59561	6.0	k562	TMEM132D-AS1	ENSG00000249196.6
34663	6.0	hepg2	GARS	ENSG00000106105.13
28210	6.0	h1	DPYSL3	ENSG00000113657.12
2184	6.0	a673	STK40	ENSG00000196182.10
26142	6.0	hepg2	SERF1B	ENSG00000205572.9
74489	6.0	brain	NT5M	ENSG00000205309.13
25984	6.0	h1_de	PPWD1	ENSG00000113593.11
91716	6.0	heart	CHCHD10	ENSG00000250479.8
23583	6.0	brain	RPL34	ENSG00000109475.16
84229	6.0	gm12878	CD22	ENSG00000012124.16
36215	6.0	lung	PON3	ENSG00000105852.10
18454	6.0	heart	DZIP3	ENSG00000198919.12
21943	6.0	ocily7	STIM2	ENSG00000109689.15
28856	6.0	heart	CPEB4	ENSG00000113742.12
85425	6.0	h9_panc_progen	ZNF155	ENSG00000204920.10
24541	6.0	brain	SPOCK3	ENSG00000196104.10
36768	6.0	gm12878	AC105052.3	ENSG00000267645.5
36814	6.0	hepg2	DNAJC2	ENSG00000105821.14
91293	6.0	heart	PI4KAP1	ENSG00000274602.4
68345	6.0	brain	RGS11	ENSG00000076344.15
231	6.0	lung	MMP23B	ENSG00000189409.13
545	6.0	colon	ZBTB48	ENSG00000204859.12
9897	6.0	vessels	VIT	ENSG00000205221.12
17588	6.0	colon	PHF7	ENSG00000010318.20
68633	6.0	h1	UNKL	ENSG00000059145.18
74982	6.0	brain	UNC119	ENSG00000109103.11
37612	6.0	hl60_m0	TBXAS1	ENSG00000059377.16
90480	6.0	wtc11	ITSN1	ENSG00000205726.14
27515	6.0	brain	UBE2B	ENSG00000119048.7
28970	6.0	h9_neural_crest	ZNF346	ENSG00000113761.11
24428	6.0	brain	GLRB	ENSG00000109738.10
63209	6.0	hmec	PLEK2	ENSG00000100558.8
3587	6.0	adrenal gland	HHLA3	ENSG00000197568.13
62669	6.0	gm12878	NIN	ENSG00000100503.23
72319	6.0	imr90	TMEM231	ENSG00000205084.10
58482	6.0	hl60_m1_24hr	SART3	ENSG00000075856.11
92462	6.0	ovary	TXN2	ENSG00000100348.9
63760	6.0	gm12878	AHSA1	ENSG00000100591.7
21670	6.0	h1	CPZ	ENSG00000109625.18
37247	6.0	heart	RBM28	ENSG00000106344.8
9164	6.0	k562	CPSF3	ENSG00000119203.13
29904	6.0	hepg2	GMNN	ENSG00000112312.9
82330	6.0	brain	FDX2	ENSG00000267673.6
62799	6.0	brain	CGRRF1	ENSG00000100532.11
6554	6.0	colon	NOS1AP	ENSG00000198929.12
77718	6.0	gm12878	CD79B	ENSG00000007312.12
85516	6.0	adrenal gland	PVR	ENSG00000073008.14
28825	6.0	heart	ATP6V0E1	ENSG00000113732.8
85355	6.0	gm12878	XRCC1	ENSG00000073050.11
20018	6.0	adipose	RARRES1	ENSG00000118849.9
59495	6.0	adrenal gland	SCARB1	ENSG00000073060.15
92489	6.0	hl60	NCF4	ENSG00000100365.14
61490	5.0	hl60_m1_24hr	PIP4P1	ENSG00000165782.10
4424	5.0	hl60_m0	CYB561D1	ENSG00000174151.14
22923	5.0	colon	RASGEF1B	ENSG00000138670.17
49204	5.0	hepg2	EIF3F	ENSG00000175390.13
88837	5.0	brain	SAMHD1	ENSG00000101347.9
95981	5.0	adrenal gland	HTATSF1	ENSG00000102241.11
81861	5.0	brain	NDUFA11	ENSG00000174886.12
61038	5.0	hl60_m0	STK24	ENSG00000102572.14
85236	5.0	ocily7	POU2F2	ENSG00000028277.21
19993	5.0	k562	RSRC1	ENSG00000174891.12
60744	5.0	h1	DIAPH3	ENSG00000139734.18
86737	5.0	brain	ZNF880	ENSG00000221923.8
95021	5.0	caco2	PBDC1	ENSG00000102390.10
33101	5.0	brain	FLJ46906	ENSG00000225177.5
60068	5.0	hffc6	KATNAL1	ENSG00000102781.13
68396	5.0	h1	CAPN15	ENSG00000103326.11
23808	5.0	h1_de	PRDM5	ENSG00000138738.10
70477	5.0	hl60_m1_24hr	KCTD13	ENSG00000174943.10
71113	5.0	hepg2	RPGRIP1L	ENSG00000103494.13
45438	5.0	lung	SFTA1P	ENSG00000225383.7
26269	5.0	adrenal gland	ARHGEF28	ENSG00000214944.9
88897	5.0	heart	RPRD1B	ENSG00000101413.11
63092	5.0	gm12878	WDR89	ENSG00000140006.11
71101	5.0	h1	RBL2	ENSG00000103479.15
94634	5.0	h9_de	KLF8	ENSG00000102349.17
63914	5.0	gm12878	EFCAB11	ENSG00000140025.15
21128	5.0	colon	BDH1	ENSG00000161267.11
36719	5.0	gm12878	SH2B2	ENSG00000160999.10
22884	5.0	h1_de	BMP2K	ENSG00000138756.17
16865	5.0	kidney	PTH1R	ENSG00000160801.13
70472	5.0	brain	ASPHD1	ENSG00000174939.10
88860	5.0	adipose	MANBAL	ENSG00000101363.12
22450	5.0	gm12878	SRP72	ENSG00000174780.16
69237	5.0	brain	ZNF174	ENSG00000103343.12
26573	5.0	hepg2	TMEM167A	ENSG00000174695.9
68746	5.0	heart	RPL3L	ENSG00000140986.7
29438	5.0	caco2	SERPINB1	ENSG00000021355.12
56101	5.0	h9_neural_crest	LMBR1L	ENSG00000139636.15
72516	5.0	colon	OSGIN1	ENSG00000140961.12
193736	5.0	a673	SSXP5	ENSG00000225508.1
22825	5.0	lung	SHROOM3	ENSG00000138771.15
1239	5.0	heart	LINC00339	ENSG00000218510.8
91112	5.0	h9_panc_progen	MCM3AP-AS1	ENSG00000215424.9
24954	5.0	brain	SLC9A3-AS1	ENSG00000225138.7
36376	5.0	adrenal gland	ZNF394	ENSG00000160908.14
94350	5.0	ocily7	PIM2	ENSG00000102096.9
57078	5.0	brain	HSD17B6	ENSG00000025423.11
2304	5.0	hl60_m2_24hr	AKIRIN1	ENSG00000174574.15
71887	5.0	h1_de	SLC7A6	ENSG00000103064.14
47679	5.0	brain	RPARP-AS1	ENSG00000269609.5
4097	5.0	muscle	GCLM	ENSG00000023909.9
65313	5.0	h1	GOLGA8B	ENSG00000215252.11
31055	5.0	hl60	DEF6	ENSG00000023892.10
50207	5.0	brain	ARHGAP1	ENSG00000175220.11
71788	5.0	brain	TSNAXIP1	ENSG00000102904.14
32384	5.0	adrenal gland	SEC63	ENSG00000025796.13
47497	5.0	hepg2	ABCC2	ENSG00000023839.11
71808	5.0	h1	NUTF2	ENSG00000102898.11
54793	5.0	h1_de	PEX5	ENSG00000139197.10
55240	5.0	ocily7	DERA	ENSG00000023697.12
72260	5.0	heart	WDR59	ENSG00000103091.14
30740	5.0	caco2	PPT2	ENSG00000221988.12
68248	5.0	colon	PCSK6	ENSG00000140479.16
93658	5.0	gm12878	ASB9	ENSG00000102048.15
72732	5.0	hepg2	CA5A	ENSG00000174990.5
66378	5.0	gm12878	BNIP2	ENSG00000140299.11
33473	5.0	brain	GTF2H5	ENSG00000272047.2
83520	5.0	brain	CERS1	ENSG00000223802.7
71436	5.0	heart	SETD6	ENSG00000103037.11
3562	5.0	h1	DEPDC1	ENSG00000024526.16
67344	5.0	h1	HMG20A	ENSG00000140382.14
89618	5.0	brain	NPEPL1	ENSG00000215440.11
71307	5.0	heart	ARL2BP	ENSG00000102931.7
58602	5.0	gm12878	TCHP	ENSG00000139437.17
67304	5.0	heart	SCAPER	ENSG00000140386.12
71949	5.0	h1	HAS3	ENSG00000103044.10
48336	5.0	brain	STK32C	ENSG00000165752.16
96029	5.0	h1	ATP11C	ENSG00000101974.14
57293	5.0	h1_de	LRIG3	ENSG00000139263.11
810	5.0	heart	NPPA	ENSG00000175206.10
31006	5.0	heart	NUDT3	ENSG00000272325.1
53757	5.0	brain	C1QTNF5	ENSG00000223953.5
4063	5.0	hl60_m2_24hr	CCDC18-AS1	ENSG00000223745.7
23729	5.0	brain	UGT8	ENSG00000174607.10
72357	5.0	colon	MON1B	ENSG00000103111.14
54775	5.0	vessels	C1RL	ENSG00000139178.10
68302	5.0	brain	NPRL3	ENSG00000103148.15
36798	5.0	hl60_m2_24hr	NAPEPLD	ENSG00000161048.11
70817	5.0	brain	ARMC5	ENSG00000140691.16
69795	5.0	heart	NOMO3	ENSG00000103226.17
70051	5.0	brain	CDR2	ENSG00000140743.7
51612	5.0	brain	MRPL11	ENSG00000174547.13
46085	5.0	k562	BX322639.1	ENSG00000215146.5
79372	5.0	gm12878	USP14	ENSG00000101557.14
78925	5.0	gm12878	NDUFAF8	ENSG00000224877.3
72203	5.0	hepg2	DHX38	ENSG00000140829.11
49277	5.0	hl60_m0	NRIP3	ENSG00000175352.10
90208	5.0	brain	LINC00320	ENSG00000224924.6
23600	5.0	h1_de	SEC24B	ENSG00000138802.11
73699	5.0	hffc6	ALOX12-AS1	ENSG00000215067.9
84191	5.0	brain	FXYD7	ENSG00000221946.7
70424	5.0	colon	ZG16	ENSG00000174992.7
23516	5.0	hffc6	INTS12	ENSG00000138785.14
86470	5.0	gm12878	SPIB	ENSG00000269404.6
72590	5.0	ovary	CRISPLD2	ENSG00000103196.11
39340	5.0	brain	LSM1	ENSG00000175324.9
56974	5.0	brain	NABP2	ENSG00000139579.12
55662	5.0	wtc11	FGD4	ENSG00000139132.14
62418	5.0	hepg2	RALGAPA1	ENSG00000174373.16
30020	5.0	h9_panc_beta	BTN3A1	ENSG00000026950.16
67924	5.0	h1_de	IQGAP1	ENSG00000140575.12
55383	5.0	gm12878	ETNK1	ENSG00000139163.15
88978	5.0	vessels	ZHX3	ENSG00000174306.21
21026	5.0	heart	PCYT1A	ENSG00000161217.11
4412	5.0	heart	MYBPHL	ENSG00000221986.6
96457	5.0	lung	UBL4A	ENSG00000102178.12
91273	5.0	lung	PEX26	ENSG00000215193.12
56375	5.0	colon	ACVRL1	ENSG00000139567.12
69914	5.0	brain	IQCK	ENSG00000174628.16
36435	5.0	heart	AZGP1	ENSG00000160862.12
72552	5.0	imr90	WFDC1	ENSG00000103175.10
55719	5.0	h1	KIF21A	ENSG00000139116.18
68547	5.0	lung	MSLN	ENSG00000102854.15
56040	5.0	vessels	ADCY6	ENSG00000174233.11
62210	5.0	brain	NOVA1	ENSG00000139910.19
44918	5.0	caco2	SOHLH1	ENSG00000165643.10
23003	5.0	h9_neural_crest	COPS4	ENSG00000138663.8
15126	5.0	kidney	ERFE	ENSG00000178752.15
33830	5.0	hepg2	ZFAND2A	ENSG00000178381.11
65000	5.0	brain	AC242376.2	ENSG00000274471.2
10885	5.0	mcf10a	RAB11FIP5	ENSG00000135631.16
11039	5.0	colon	CCDC142	ENSG00000135637.13
34085	5.0	gm12878	C1GALT1	ENSG00000106392.10
71557	5.0	h1	DYNC1LI2	ENSG00000135720.12
21824	5.0	h1_de	LCORL	ENSG00000178177.15
12438	5.0	h1	FAR2P2	ENSG00000178162.8
71669	5.0	a673	E2F4	ENSG00000205250.8
8491	5.0	k562	ABCB10	ENSG00000135776.4
93822	5.0	hl60_m2_72hr	MBTPS2	ENSG00000012174.11
42589	5.0	h1	STOML2	ENSG00000165283.15
6860	5.0	brain	PIGC	ENSG00000135845.9
33886	5.0	gm12878	SNX8	ENSG00000106266.10
14753	5.0	lung	SP110	ENSG00000135899.17
552	5.0	h9_chondro	KLHL21	ENSG00000162413.16
32455	5.0	brain	SMPD2	ENSG00000135587.8
37369	5.0	brain	CEP41	ENSG00000106477.18
56753	5.0	heart	PPP1R1A	ENSG00000135447.16
93667	5.0	h9_neural_crest	PIGA	ENSG00000165195.15
75293	5.0	heart	SUZ12	ENSG00000178691.10
44141	5.0	brain	LHX2	ENSG00000106689.10
35026	5.0	hffc6	YKT6	ENSG00000106636.7
35005	5.0	h9_chondro	AEBP1	ENSG00000106624.10
57242	5.0	heart	CDK4	ENSG00000135446.16
57232	5.0	lung	TSPAN31	ENSG00000135452.9
32997	5.0	h1_de	AHI1	ENSG00000135541.20
57211	5.0	brain	B4GALNT1	ENSG00000135454.13
35466	5.0	k562	TMEM248	ENSG00000106609.16
56202	5.0	brain	FAIM2	ENSG00000135472.8
93418	5.0	brain	GTPBP6	ENSG00000178605.13
58660	5.0	k562	FAM216A	ENSG00000204856.11
612	5.0	vessels	SLC45A1	ENSG00000162426.14
36412	5.0	colon	CYP3A5	ENSG00000106258.14
36348	5.0	h1_de	PTCD1	ENSG00000106246.17
93356	5.0	colon	ODF3B	ENSG00000177989.13
35164	5.0	colon	HUS1	ENSG00000136273.12
60915	5.0	brain	SPRY2	ENSG00000136158.11
6293	5.0	brain	KCNJ10	ENSG00000177807.9
60543	5.0	hl60_m2_24hr	SETDB2	ENSG00000136169.16
34610	5.0	brain	SCRN1	ENSG00000136193.16
55426	5.0	brain	ETFRF1	ENSG00000205707.10
36141	5.0	hffc6	TFPI2	ENSG00000105825.12
36760	5.0	adrenal gland	RASA4	ENSG00000105808.17
34407	5.0	k562	MPP6	ENSG00000105926.15
34708	5.0	h1	AVL9	ENSG00000105778.18
62126	5.0	adrenal gland	CIDEB	ENSG00000136305.11
36987	5.0	brain	THAP5	ENSG00000177683.13
85348	5.0	colon	ETHE1	ENSG00000105755.7
64974	5.0	brain	AC138649.1	ENSG00000274253.4
67642	5.0	heart	TM6SF1	ENSG00000136404.15
60495	5.0	heart	ITM2B	ENSG00000136156.13
60430	5.0	colon	COG3	ENSG00000136152.14
34634	5.0	lung	NOD1	ENSG00000106100.10
16398	5.0	colon	VILL	ENSG00000136059.14
11632	5.0	brain	COX5B	ENSG00000135940.6
35571	5.0	colon	STX1A	ENSG00000106089.11
5633	5.0	hffc6	RPS27	ENSG00000177954.12
33907	5.0	h1_de	IQCE	ENSG00000106012.17
93606	5.0	adrenal gland	TMSB4X	ENSG00000205542.10
2999	5.0	brain	CMPK1	ENSG00000162368.13
17797	5.0	h9_chondro	FLNB	ENSG00000136068.14
60547	5.0	hffc6	PHF11	ENSG00000136147.17
60718	5.0	h1	CNMD	ENSG00000136110.12
60817	5.0	caco2	TBC1D4	ENSG00000136111.13
60691	5.0	heart	THSD1	ENSG00000136114.16
35064	5.0	heart	OGDH	ENSG00000105953.14
37581	5.0	a673	TTC26	ENSG00000105948.13
60556	5.0	h1	RCBTB1	ENSG00000136144.11
30191	5.0	brain	GABBR1	ENSG00000204681.10
86492	5.0	brain	ASPDH	ENSG00000204653.9
48626	5.0	h1	PIDD1	ENSG00000177595.17
30206	5.0	colon	HLA-F	ENSG00000204642.13
48267	5.0	heart	BCCIP	ENSG00000107949.16
45231	5.0	brain	GTPBP4	ENSG00000107937.18
39593	5.0	brain	HGSNAT	ENSG00000165102.14
26628	5.0	heart	CCNH	ENSG00000134480.14
22133	5.0	h1	NSUN7	ENSG00000179299.16
28734	5.0	gm12878	DOCK2	ENSG00000134516.16
58809	5.0	a673	PTPN11	ENSG00000179295.17
55350	5.0	heart	SPX	ENSG00000134548.10
53211	5.0	pgp1_astro	LAYN	ENSG00000204381.11
50264	5.0	heart	ACP2	ENSG00000134575.9
47588	5.0	caco2	KAZALD1	ENSG00000107821.14
405	5.0	lung	MEGF6	ENSG00000162591.15
30626	5.0	brain	NEU1	ENSG00000204386.10
47030	5.0	heart	CCSER2	ENSG00000107771.16
30600	5.0	a673	VARS	ENSG00000204394.12
46360	5.0	caco2	DKK1	ENSG00000107984.9
7445	5.0	gm12878	TIMM17A	ENSG00000134375.10
3334	5.0	heart	MYSM1	ENSG00000162601.9
4722	5.0	gm12878	AP4B1	ENSG00000134262.12
4176	5.0	h1_de	SNX7	ENSG00000162627.16
4415	5.0	heart	SORT1	ENSG00000134243.11
42989	5.0	heart	FXN	ENSG00000165060.12
4831	5.0	h1	TRIM45	ENSG00000134253.9
4824	5.0	hl60_m2_24hr	CD101	ENSG00000134256.12
3740	5.0	h1	DNAJB4	ENSG00000162616.8
90031	5.0	h9	U2AF1L5	ENSG00000275895.6
7436	5.0	wtc11	NAV1	ENSG00000134369.15
9185	5.0	hffc6	YWHAQ	ENSG00000134308.13
9287	5.0	brain	LPIN1	ENSG00000134324.11
49571	5.0	liver	SAA2	ENSG00000134339.8
47878	5.0	gm12878	SHOC2	ENSG00000108061.11
25847	5.0	heart	IL6ST	ENSG00000134352.19
78344	5.0	heart	SMIM5	ENSG00000204323.5
2235	5.0	a673	GNL2	ENSG00000134697.12
3360	5.0	a673	HOOK1	ENSG00000134709.10
3101	5.0	brain	BTF3L4	ENSG00000134717.17
42122	5.0	h9_de	KDM4C	ENSG00000107077.18
58530	5.0	h9_neural_crest	USP30	ENSG00000135093.12
58894	5.0	hffc6	TBX3	ENSG00000135111.15
42333	5.0	wtc11	ELAVL2	ENSG00000107105.14
30313	5.0	caco2	PRR3	ENSG00000204576.11
59013	5.0	kidney	BICDL1	ENSG00000135127.11
1830	5.0	h1_de	SDC3	ENSG00000162512.15
36979	5.0	adrenal gland	PNPLA8	ENSG00000135241.16
28543	5.0	hl60_m0	HAVCR2	ENSG00000135077.8
30289	5.0	h9_neural_crest	TRIM39	ENSG00000204599.14
861	5.0	h1	PDPN	ENSG00000162493.16
72932	5.0	k562	CPNE7	ENSG00000178773.14
43398	5.0	h9_osteocyte	ECM2	ENSG00000106823.12
16784	5.0	h1	LARS2	ENSG00000011376.10
68081	5.0	k562	AC015574.1	ENSG00000275016.4
58978	5.0	hl60_m1_24hr	TAOK3	ENSG00000135090.13
81624	5.0	k562	APBA3	ENSG00000011132.11
3128	5.0	h9_neural_crest	TUT4	ENSG00000134744.13
1132	5.0	adrenal gland	TMCO4	ENSG00000162542.13
1047	5.0	h1	RCC2	ENSG00000179051.13
45514	5.0	brain	PHYH	ENSG00000107537.13
45425	5.0	h1_de	GATA3	ENSG00000107485.16
43491	5.0	liver	FBP1	ENSG00000165140.10
30510	5.0	gm12878	NCR3	ENSG00000204475.9
61129	5.0	h1	TPP2	ENSG00000134900.11
42432	5.0	gm12878	BAG1	ENSG00000107262.21
43209	5.0	h1	AGTPBP1	ENSG00000135049.15
62838	5.0	heart	FBXO34	ENSG00000178974.9
43103	5.0	colon	OSTF1	ENSG00000134996.11
43107	5.0	colon	RFK	ENSG00000135002.11
43180	5.0	calu3	UBQLN1	ENSG00000135018.13
43215	5.0	gm12878	NAA35	ENSG00000135040.15
43040	5.0	h1	CEMIP2	ENSG00000135048.13
67372	5.0	h1_de	CIB2	ENSG00000136425.13
77338	5.0	hffc6	SRSF1	ENSG00000136450.12
70734	5.0	hl60_m1_24hr	STX4	ENSG00000103496.14
52416	5.0	k562	THAP12	ENSG00000137492.7
66831	5.0	caco2	UACA	ENSG00000137831.14
66711	5.0	h1_de	SMAD6	ENSG00000137834.14
39200	5.0	hl60	LEPROTL1	ENSG00000104660.18
48327	5.0	h1_de	BNIP3	ENSG00000176171.11
38800	5.0	caco2	SH2D4A	ENSG00000104611.11
40816	5.0	wtc11	UBR5	ENSG00000104517.12
65533	5.0	hepg2	GCHFR	ENSG00000137880.5
49886	5.0	colon	TCP11L1	ENSG00000176148.15
4073	5.0	h9_panc_beta	FNBP1L	ENSG00000137942.16
42536	5.0	brain	GALT	ENSG00000213930.11
28983	5.0	h1	NSD1	ENSG00000165671.20
4100	5.0	calu3	ARHGAP29	ENSG00000137962.12
3756	5.0	gm12878	IFI44	ENSG00000137965.10
49893	5.0	h9_neural_crest	CSTF3	ENSG00000176102.12
17279	5.0	hffc6	IP6K1	ENSG00000176095.11
38990	5.0	heart	R3HCC1	ENSG00000104679.10
56386	5.0	lung	GRASP	ENSG00000161835.10
15193	5.0	brain	GPC1	ENSG00000063660.8
43278	5.0	heart	S1PR3	ENSG00000213694.4
52573	5.0	adrenal gland	RAB30	ENSG00000137502.9
52434	5.0	adrenal gland	LRRC32	ENSG00000137507.11
52542	5.0	caco2	NARS2	ENSG00000137513.9
82757	5.0	h1	RNASEH2A	ENSG00000104889.6
17043	5.0	brain	NCKIPSD	ENSG00000213672.7
53050	5.0	h9	DCUN1D5	ENSG00000137692.11
3873	5.0	colon	CLCA4	ENSG00000016602.9
58304	5.0	vessels	IGF1	ENSG00000017427.16
53236	5.0	pgp1	C11orf1	ENSG00000137720.7
53498	5.0	kidney	FXYD2	ENSG00000137731.13
84743	5.0	gm12878	MAP4K1	ENSG00000104814.12
39060	5.0	h1_de	BNIP3L	ENSG00000104765.15
65612	5.0	brain	NDUFAF1	ENSG00000137806.8
72717	5.0	colon	KLHDC4	ENSG00000104731.13
10119	5.0	hl60_m1_24hr	PPM1B	ENSG00000138032.20
65671	5.0	hffc6	GANC	ENSG00000214013.9
10030	5.0	h1_de	THUMPD2	ENSG00000138050.14
18535	5.0	h9_neural_crest	SLC35A5	ENSG00000138459.8
13039	5.0	hepg2	SSB	ENSG00000138385.15
67595	5.0	h1	AP3B2	ENSG00000103723.13
40162	5.0	k562	TMEM70	ENSG00000175606.10
66595	5.0	heart	MTFMT	ENSG00000103707.9
66725	5.0	h9_osteocyte	AAGAB	ENSG00000103591.12
66300	5.0	hl60_m0	AQP9	ENSG00000103569.9
52238	5.0	brain	RAB6A	ENSG00000175582.19
67618	5.0	heart	HOMER2	ENSG00000103942.12
18720	5.0	gm12878	COX17	ENSG00000138495.6
69896	5.0	gm12878	CCP110	ENSG00000103540.16
69885	5.0	lung	TMC5	ENSG00000103534.16
66621	5.0	colon	PARP16	ENSG00000138617.15
70766	5.0	hepg2	BCKDK	ENSG00000103507.13
23056	5.0	lung	ARHGAP24	ENSG00000138639.17
14181	5.0	h9_neural_crest	BARD1	ENSG00000138376.10
48231	5.0	colon	ZRANB1	ENSG00000019995.6
15645	5.0	hl60_m1_24hr	TTLL3	ENSG00000214021.15
47223	5.0	vessels	MYOF	ENSG00000138119.16
86668	5.0	gm12878	ZNF613	ENSG00000176024.17
48758	5.0	lung	MRPL23	ENSG00000214026.10
40148	5.0	h9_neural_crest	UBE2W	ENSG00000104343.19
40421	5.0	hl60_m1_24hr	NBN	ENSG00000104320.13
40414	5.0	heart	RIPK2	ENSG00000104312.7
47684	5.0	caco2	MFSD13A	ENSG00000138111.14
15469	5.0	h1	LRRN1	ENSG00000175928.5
86016	5.0	heart	TMEM143	ENSG00000161558.10
29541	5.0	heart	LYRM4	ENSG00000214113.10
39090	5.0	a673	TRIM35	ENSG00000104228.12
56729	5.0	brain	ZNF385A	ENSG00000161642.17
47227	5.0	a673	CEP55	ENSG00000138180.15
89510	5.0	hct116	CYP24A1	ENSG00000019186.9
35811	5.0	hffc6	APTR	ENSG00000214293.8
86383	5.0	brain	TBC1D17	ENSG00000104946.12
82858	5.0	brain	CCDC130	ENSG00000104957.13
54805	5.0	adrenal gland	CD163	ENSG00000177575.12
52364	5.0	heart	ARRB1	ENSG00000137486.16
90072	5.0	h9_panc_progen	SMIM11B	ENSG00000273590.4
43817	5.0	muscle	ECPAS	ENSG00000136813.14
52145	5.0	gm12878	CLPB	ENSG00000162129.13
44243	5.0	colon	RALGPS1	ENSG00000136828.18
59887	5.0	colon	MICU2	ENSG00000165487.13
85223	5.0	heart	ATP1A3	ENSG00000105409.18
22190	5.0	colon	SLC30A9	ENSG00000014824.13
48608	5.0	hffc6	GATD1	ENSG00000177225.16
71082	5.0	vessels	CHD9	ENSG00000177200.17
59630	5.0	hffc6	PUS1	ENSG00000177192.13
86580	5.0	hl60_m2_12hr	CD33	ENSG00000105383.14
69033	5.0	colon	ZG16B	ENSG00000162078.11
44620	5.0	brain	USP20	ENSG00000136878.12
69047	5.0	heart	FLYWCH2	ENSG00000162076.12
69079	5.0	brain	PAQR4	ENSG00000162073.13
43804	5.0	brain	TXN	ENSG00000136810.12
44514	5.0	brain	LRRC8A	ENSG00000136802.11
33635	5.0	colon	FGFR1OP	ENSG00000213066.12
57777	5.0	colon	PAWR	ENSG00000177425.10
83504	5.0	brain	TMEM59L	ENSG00000105696.8
77021	5.0	h1_de	KAT7	ENSG00000136504.11
15977	5.0	heart	COLQ	ENSG00000206561.12
83393	5.0	brain	PIK3R2	ENSG00000105647.16
50954	5.0	brain	STX5	ENSG00000162236.11
83366	5.0	hffc6	RPL18A	ENSG00000105640.12
55926	5.0	lung	SLC48A1	ENSG00000211584.13
45646	5.0	pgp1	STAM	ENSG00000136738.14
55135	5.0	lung	GPRC5A	ENSG00000013588.8
12416	5.0	hffc6	CCDC115	ENSG00000136710.9
86070	5.0	lung	DBP	ENSG00000105516.10
86778	5.0	k562	ZNF611	ENSG00000213020.9
12371	5.0	h9_de	UGGT1	ENSG00000136731.12
12288	5.0	k562	GYPC	ENSG00000136732.15
44252	5.0	heart	GARNL3	ENSG00000136895.18
44378	5.0	a673	DPM2	ENSG00000136908.17
79769	5.0	gm12878	FAM210A	ENSG00000177150.12
83012	5.0	brain	SLC1A6	ENSG00000105143.12
54044	5.0	heart	RPUSD4	ENSG00000165526.8
31530	5.0	heart	TMEM63B	ENSG00000137216.18
84929	5.0	adrenal gland	DYRK1B	ENSG00000105204.13
84936	5.0	panc1	FBL	ENSG00000105202.8
59694	5.0	hffc6	PXMP2	ENSG00000176894.9
51251	5.0	adrenal gland	ARL2	ENSG00000213465.7
73891	5.0	h1	FGF11	ENSG00000161958.10
51422	5.0	gm12878	SIPA1	ENSG00000213445.9
35043	5.0	gm12878	NUDCD3	ENSG00000015676.17
83136	5.0	hl60_m2_24hr	FAM32A	ENSG00000105058.11
82921	5.0	h9_neural_crest	ASF1B	ENSG00000105011.8
60036	5.0	colon	CDX2	ENSG00000165556.9
70587	5.0	adrenal gland	SLX1A-SULT1A3	ENSG00000213599.10
81525	5.0	gm12878	SGTA	ENSG00000104969.9
29627	5.0	mcf10a	TFAP2A	ENSG00000137203.11
30129	5.0	gm12878	ZSCAN9	ENSG00000137185.12
75682	5.0	h1	CWC25	ENSG00000273559.4
41254	5.0	h1	MYC	ENSG00000136997.17
85939	5.0	brain	NOP53	ENSG00000105373.18
153235	5.0	brain	AL049697.1	ENSG00000213204.8
77378	5.0	hepg2	SUPT4H1	ENSG00000213246.6
44168	5.0	colon	RPL35	ENSG00000136942.14
161984	5.0	caco2	AC011841.1	ENSG00000273496.1
85117	5.0	ocily7	TGFB1	ENSG00000105329.9
85899	5.0	brain	CCDC9	ENSG00000105321.13
31400	5.0	brain	KLC4	ENSG00000137171.14
42567	5.0	heart	DNAJB5	ENSG00000137094.14
42616	5.0	ocily7	CD72	ENSG00000137101.12
47371	5.0	a673	ARHGAP19	ENSG00000213390.10
70373	5.0	gm12878	NFATC2IP	ENSG00000176953.12
15340	5.0	colon	THAP4	ENSG00000176946.11
96213	5.0	k562	MAGEA12	ENSG00000213401.9
39085	5.0	brain	STMN4	ENSG00000015592.16
71597	5.0	hl60_m1_24hr	CES2	ENSG00000172831.11
77253	5.0	colon	PCTP	ENSG00000141179.13
55230	5.0	vessels	EPS8	ENSG00000151491.13
47668	5.0	calu3	NFKB2	ENSG00000077150.18
66682	5.0	heart	MAP2K1	ENSG00000169032.9
21248	5.0	heart	SLC49A3	ENSG00000169026.12
16144	5.0	heart	RARB	ENSG00000077092.18
21239	5.0	brain	ATP5ME	ENSG00000169020.9
36594	5.0	pgp1_excite_neuron	ACTL6B	ENSG00000077080.9
14979	5.0	h9_chondro	DGKD	ENSG00000077044.10
66527	5.0	gm12878	CIAO2A	ENSG00000166797.10
32531	5.0	hffc6	TRAF3IP2	ENSG00000056972.18
85140	5.0	hl60_m0	BCKDHA	ENSG00000248098.11
95860	5.0	h1	GPC4	ENSG00000076716.8
54106	5.0	lung	FLI1	ENSG00000151702.16
54112	5.0	kidney	KCNJ1	ENSG00000151704.15
54135	5.0	colon	TMEM45B	ENSG00000151715.7
74970	5.0	heart	SLC46A1	ENSG00000076351.12
6883	5.0	h1_de	KLHL20	ENSG00000076321.10
67854	5.0	hepg2	KIF7	ENSG00000166813.14
70226	5.0	a673	GTF3C1	ENSG00000077235.17
70217	5.0	colon	IL4R	ENSG00000077238.13
