gid	length	biotype	biotype_category
ENSG00000249795.1	480	processed_pseudogene	pseudogene
ENSG00000164066.12	103466	protein_coding	protein_coding
ENSG00000151475.5	43921	protein_coding	protein_coding
ENSG00000164070.11	58912	protein_coding	protein_coding
ENSG00000282855.1	307	processed_pseudogene	pseudogene
ENSG00000244021.4	480	processed_pseudogene	pseudogene
ENSG00000261668.1	3842	antisense	lncRNA
ENSG00000142731.10	18334	protein_coding	protein_coding
ENSG00000251821.1	91	snRNA	other
ENSG00000164073.10	48302	protein_coding	protein_coding
ENSG00000164074.15	74621	protein_coding	protein_coding
ENSG00000138709.18	161663	protein_coding	protein_coding
ENSG00000241651.4	598	processed_pseudogene	pseudogene
ENSG00000248394.1	815	processed_pseudogene	pseudogene
ENSG00000164040.16	19592	protein_coding	protein_coding
ENSG00000251432.6	226643	lincRNA	lncRNA
ENSG00000273077.1	826	lincRNA	lncRNA
ENSG00000248187.1	2559	lincRNA	lncRNA
ENSG00000248802.1	18408	lincRNA	lncRNA
ENSG00000280711.1	1720	lincRNA	lncRNA
ENSG00000077684.15	65601	protein_coding	protein_coding
ENSG00000151466.11	228686	protein_coding	protein_coding
ENSG00000275647.1	328	processed_pseudogene	pseudogene
ENSG00000281369.1	111	pseudogene	pseudogene
ENSG00000151470.12	23323	protein_coding	protein_coding
ENSG00000251345.2	992	processed_pseudogene	pseudogene
ENSG00000248958.2	3814	processed_pseudogene	pseudogene
ENSG00000251195.1	1708	processed_pseudogene	pseudogene
ENSG00000250193.1	5847	lincRNA	lncRNA
ENSG00000246876.6	47310	lincRNA	lncRNA
ENSG00000249618.5	183709	lincRNA	lncRNA
ENSG00000234125.5	1153	processed_pseudogene	pseudogene
ENSG00000251326.1	10142	lincRNA	lncRNA
ENSG00000248877.2	612	processed_pseudogene	pseudogene
ENSG00000249018.2	987	processed_pseudogene	pseudogene
ENSG00000280059.1	3426	TEC	other
ENSG00000250503.1	4614	lincRNA	lncRNA
ENSG00000250213.2	507	processed_pseudogene	pseudogene
ENSG00000206782.1	106	snRNA	other
ENSG00000250102.5	161384	lincRNA	lncRNA
ENSG00000248715.2	208	processed_pseudogene	pseudogene
ENSG00000241392.3	283	misc_RNA	other
ENSG00000252014.1	109	snoRNA	other
ENSG00000249416.2	345	processed_pseudogene	pseudogene
ENSG00000251676.1	18180	lincRNA	lncRNA
ENSG00000184139.8	570	processed_pseudogene	pseudogene
ENSG00000251555.1	45921	lincRNA	lncRNA
ENSG00000251598.1	119221	lincRNA	lncRNA
ENSG00000249463.1	1259	lincRNA	lncRNA
ENSG00000251051.1	693	processed_pseudogene	pseudogene
ENSG00000248369.1	11433	lincRNA	lncRNA
ENSG00000251398.1	87414	lincRNA	lncRNA
ENSG00000249038.2	452	processed_pseudogene	pseudogene
ENSG00000251488.1	144905	lincRNA	lncRNA
ENSG00000249513.2	3167	lincRNA	lncRNA
ENSG00000250241.5	73805	lincRNA	lncRNA
ENSG00000248735.2	1959	processed_pseudogene	pseudogene
ENSG00000138650.8	59291	protein_coding	protein_coding
ENSG00000250191.1	642	unprocessed_pseudogene	pseudogene
ENSG00000251388.1	139444	lincRNA	lncRNA
ENSG00000254535.3	5415	protein_coding	protein_coding
ENSG00000251199.5	72300	lincRNA	lncRNA
ENSG00000248191.1	1735	processed_pseudogene	pseudogene
ENSG00000251291.1	33985	lincRNA	lncRNA
ENSG00000249000.1	57890	lincRNA	lncRNA
ENSG00000249847.1	1242	lincRNA	lncRNA
ENSG00000251228.1	248	processed_pseudogene	pseudogene
ENSG00000241411.1	630	processed_pseudogene	pseudogene
ENSG00000250144.1	1386	processed_pseudogene	pseudogene
ENSG00000248434.1	30425	lincRNA	lncRNA
ENSG00000248456.1	10874	lincRNA	lncRNA
ENSG00000283432.1	104	snRNA	other
ENSG00000250834.1	747	processed_pseudogene	pseudogene
ENSG00000248104.1	2040	processed_pseudogene	pseudogene
ENSG00000250865.1	13520	lincRNA	lncRNA
ENSG00000248330.5	46697	lincRNA	lncRNA
ENSG00000207322.1	163	snRNA	other
ENSG00000251492.1	393	processed_pseudogene	pseudogene
ENSG00000261166.1	1443	lincRNA	lncRNA
ENSG00000251567.5	276796	lincRNA	lncRNA
ENSG00000250665.1	12965	lincRNA	lncRNA
ENSG00000249311.4	1226	processed_pseudogene	pseudogene
ENSG00000279749.1	503	TEC	other
ENSG00000248869.5	416077	lincRNA	lncRNA
ENSG00000250341.1	4611	lincRNA	lncRNA
ENSG00000250813.1	186	processed_pseudogene	pseudogene
ENSG00000251440.2	438	processed_pseudogene	pseudogene
ENSG00000213448.3	414	processed_pseudogene	pseudogene
ENSG00000189184.11	13576	protein_coding	protein_coding
ENSG00000251632.1	57699	lincRNA	lncRNA
ENSG00000280352.1	534	TEC	other
ENSG00000250126.1	9909	lincRNA	lncRNA
ENSG00000250777.1	44500	lincRNA	lncRNA
ENSG00000250034.1	8696	lincRNA	lncRNA
ENSG00000248307.5	103287	lincRNA	lncRNA
ENSG00000250033.5	120713	processed_transcript	lncRNA
ENSG00000151012.13	78252	protein_coding	protein_coding
ENSG00000249091.1	4669	lincRNA	lncRNA
ENSG00000248397.1	13802	lincRNA	lncRNA
ENSG00000251372.5	114633	lincRNA	lncRNA
ENSG00000249381.1	11346	lincRNA	lncRNA
ENSG00000248305.1	841	processed_pseudogene	pseudogene
ENSG00000248795.1	1237	processed_pseudogene	pseudogene
ENSG00000250977.1	844	lincRNA	lncRNA
ENSG00000250501.2	28089	lincRNA	lncRNA
ENSG00000250195.1	192692	antisense	lncRNA
ENSG00000250577.1	302	lincRNA	lncRNA
ENSG00000151014.5	30150	protein_coding	protein_coding
ENSG00000109381.19	149106	protein_coding	protein_coding
ENSG00000252503.1	103	snRNA	other
ENSG00000240723.3	281	misc_RNA	other
ENSG00000179967.11	444	processed_pseudogene	pseudogene
ENSG00000276396.1	291	misc_RNA	other
ENSG00000265892.2	305	misc_RNA	other
ENSG00000207384.1	118	misc_RNA	other
ENSG00000252362.1	93	snRNA	other
ENSG00000206722.1	103	snRNA	other
ENSG00000137463.4	14175	protein_coding	protein_coding
ENSG00000109390.11	35671	protein_coding	protein_coding
ENSG00000164134.12	118578	protein_coding	protein_coding
ENSG00000200520.1	108	snRNA	other
ENSG00000273247.5	42107	antisense	lncRNA
ENSG00000248863.2	4585	transcribed_processed_pseudogene	pseudogene
ENSG00000239005.1	126	snoRNA	other
ENSG00000172007.5	23377	protein_coding	protein_coding
ENSG00000145391.13	110758	protein_coding	protein_coding
ENSG00000249302.2	461	processed_pseudogene	pseudogene
ENSG00000272717.1	844	antisense	lncRNA
ENSG00000261268.1	5096	lincRNA	lncRNA
ENSG00000085871.8	74977	protein_coding	protein_coding
ENSG00000201533.1	300	misc_RNA	other
ENSG00000178458.5	410	processed_pseudogene	pseudogene
ENSG00000196782.12	437431	protein_coding	protein_coding
ENSG00000252233.1	308	misc_RNA	other
ENSG00000250698.1	6550	antisense	lncRNA
ENSG00000153130.17	128440	protein_coding	protein_coding
ENSG00000196951.10	89657	antisense	lncRNA
ENSG00000249754.2	387	processed_pseudogene	pseudogene
ENSG00000241923.2	621	processed_pseudogene	pseudogene
ENSG00000153132.12	39513	protein_coding	protein_coding
ENSG00000205301.11	56115	protein_coding	protein_coding
ENSG00000280262.1	2928	TEC	other
ENSG00000179387.9	29612	protein_coding	protein_coding
ENSG00000109424.3	9371	protein_coding	protein_coding
ENSG00000242102.3	297	misc_RNA	other
ENSG00000248621.2	174	processed_pseudogene	pseudogene
ENSG00000109436.7	135355	protein_coding	protein_coding
ENSG00000249661.1	3649	processed_pseudogene	pseudogene
ENSG00000207155.1	107	misc_RNA	other
ENSG00000248335.1	3913	antisense	lncRNA
ENSG00000273472.1	1393	lincRNA	lncRNA
ENSG00000222613.1	102	misc_RNA	other
ENSG00000170153.10	353070	protein_coding	protein_coding
ENSG00000109445.10	13810	protein_coding	protein_coding
ENSG00000248747.1	38050	lincRNA	lncRNA
ENSG00000248810.1	13168	lincRNA	lncRNA
ENSG00000250189.2	2414	processed_pseudogene	pseudogene
ENSG00000272632.1	453	lincRNA	lncRNA
ENSG00000250141.1	6146	lincRNA	lncRNA
ENSG00000164136.16	97388	protein_coding	protein_coding
ENSG00000109452.12	824272	protein_coding	protein_coding
ENSG00000242134.2	708	processed_pseudogene	pseudogene
ENSG00000250835.1	308	processed_pseudogene	pseudogene
ENSG00000251248.1	4537	lincRNA	lncRNA
ENSG00000249806.1	94931	lincRNA	lncRNA
ENSG00000250326.1	251666	antisense	lncRNA
ENSG00000251300.1	792	processed_pseudogene	pseudogene
ENSG00000170185.9	38913	protein_coding	protein_coding
ENSG00000250969.1	43565	lincRNA	lncRNA
ENSG00000200049.1	100	misc_RNA	other
ENSG00000109458.8	137806	protein_coding	protein_coding
ENSG00000265623.1	75	miRNA	miRNA
ENSG00000228981.3	842	processed_pseudogene	pseudogene
ENSG00000243175.1	1260	transcribed_processed_pseudogene	pseudogene
ENSG00000250540.1	714	processed_pseudogene	pseudogene
ENSG00000153147.5	44023	protein_coding	protein_coding
ENSG00000245112.2	1163	antisense	lncRNA
ENSG00000248924.2	501	transcribed_processed_pseudogene	pseudogene
ENSG00000251600.6	628910	processed_transcript	lncRNA
ENSG00000236296.8	1988	transcribed_processed_pseudogene	pseudogene
ENSG00000183090.5	123373	protein_coding	protein_coding
ENSG00000250345.2	1694	processed_pseudogene	pseudogene
ENSG00000197465.13	34696	protein_coding	protein_coding
ENSG00000249741.2	539	processed_pseudogene	pseudogene
ENSG00000250361.8	23241	protein_coding	protein_coding
ENSG00000170180.21	31483	protein_coding	protein_coding
ENSG00000285783.1	759914	processed_transcript	lncRNA
ENSG00000285713.1	887473	protein_coding	protein_coding
ENSG00000261129.1	3101	lincRNA	lncRNA
ENSG00000250504.2	745	processed_pseudogene	pseudogene
ENSG00000248890.1	18435	antisense	lncRNA
ENSG00000164161.9	99250	protein_coding	protein_coding
ENSG00000273621.1	179	misc_RNA	other
ENSG00000164162.13	266633	protein_coding	protein_coding
ENSG00000249193.1	1719	processed_pseudogene	pseudogene
ENSG00000250406.1	23215	lincRNA	lncRNA
ENSG00000251452.2	451	processed_pseudogene	pseudogene
ENSG00000222594.1	304	misc_RNA	other
ENSG00000164163.10	31247	protein_coding	protein_coding
ENSG00000164164.16	69323	protein_coding	protein_coding
ENSG00000238713.1	112	misc_RNA	other
ENSG00000240992.1	748	processed_pseudogene	pseudogene
ENSG00000272727.1	5158	lincRNA	lncRNA
ENSG00000251333.3	710	processed_pseudogene	pseudogene
ENSG00000278943.1	1048	TEC	other
ENSG00000248745.2	839	processed_pseudogene	pseudogene
ENSG00000170365.9	76885	protein_coding	protein_coding
ENSG00000250582.1	5898	antisense	lncRNA
ENSG00000250902.1	2503	antisense	lncRNA
ENSG00000151611.14	60993	protein_coding	protein_coding
ENSG00000249245.2	1876	processed_pseudogene	pseudogene
ENSG00000248356.1	8288	antisense	lncRNA
ENSG00000237136.7	90917	protein_coding	protein_coding
ENSG00000151612.15	181008	protein_coding	protein_coding
ENSG00000279481.1	2524	TEC	other
ENSG00000251687.1	6462	antisense	lncRNA
ENSG00000201314.1	112	misc_RNA	other
ENSG00000260303.1	4158	lincRNA	lncRNA
ENSG00000251024.1	30311	lincRNA	lncRNA
ENSG00000248809.5	12458	lincRNA	lncRNA
ENSG00000164167.11	24315	protein_coding	protein_coding
ENSG00000279845.1	465	TEC	other
ENSG00000250673.2	16363	protein_coding	protein_coding
ENSG00000280250.1	375	TEC	other
ENSG00000251010.1	1863	antisense	lncRNA
ENSG00000120519.14	267989	protein_coding	protein_coding
ENSG00000278438.1	105	miRNA	miRNA
ENSG00000207182.1	162	snRNA	other
ENSG00000151615.3	3581	protein_coding	protein_coding
ENSG00000137473.17	239244	protein_coding	protein_coding
ENSG00000248764.1	11470	antisense	lncRNA
ENSG00000248346.1	18019	lincRNA	lncRNA
ENSG00000260090.1	3653	lincRNA	lncRNA
ENSG00000279376.1	4158	TEC	other
ENSG00000221369.1	88	miRNA	miRNA
ENSG00000241281.1	377	processed_pseudogene	pseudogene
ENSG00000249004.1	597	processed_pseudogene	pseudogene
ENSG00000151617.16	64037	protein_coding	protein_coding
ENSG00000280219.1	8091	TEC	other
ENSG00000251254.1	674	processed_pseudogene	pseudogene
ENSG00000251688.1	26981	lincRNA	lncRNA
ENSG00000251298.1	7693	antisense	lncRNA
ENSG00000164168.7	54661	protein_coding	protein_coding
ENSG00000164169.12	46445	protein_coding	protein_coding
ENSG00000071205.11	340717	protein_coding	protein_coding
ENSG00000252951.1	114	rRNA_pseudogene	other
ENSG00000264274.1	73	miRNA	miRNA
ENSG00000240014.3	283	misc_RNA	other
ENSG00000270387.1	857	processed_pseudogene	pseudogene
ENSG00000151623.14	365936	protein_coding	protein_coding
ENSG00000250354.1	62409	antisense	lncRNA
ENSG00000251418.2	646	processed_pseudogene	pseudogene
ENSG00000201846.1	101	rRNA_pseudogene	other
ENSG00000250357.1	1291	lincRNA	lncRNA
ENSG00000225176.2	306	processed_pseudogene	pseudogene
ENSG00000279016.1	605	TEC	other
ENSG00000249317.1	1437	processed_transcript	lncRNA
ENSG00000239168.1	61	snRNA	other
ENSG00000249752.1	35077	lincRNA	lncRNA
ENSG00000250252.1	1978	lincRNA	lncRNA
ENSG00000248210.1	123828	lincRNA	lncRNA
ENSG00000234828.8	544330	protein_coding	protein_coding
ENSG00000250905.1	45092	lincRNA	lncRNA
ENSG00000251482.1	351	processed_pseudogene	pseudogene
ENSG00000202331.1	115	rRNA_pseudogene	other
ENSG00000207121.1	107	snRNA	other
ENSG00000250704.1	2364	lincRNA	lncRNA
ENSG00000170390.15	179183	protein_coding	protein_coding
ENSG00000238721.1	62	snRNA	other
ENSG00000198589.11	751196	protein_coding	protein_coding
ENSG00000248521.1	997	processed_pseudogene	pseudogene
ENSG00000249690.1	2456	antisense	lncRNA
ENSG00000181541.5	2771	protein_coding	protein_coding
ENSG00000183432.6	497	processed_pseudogene	pseudogene
ENSG00000252451.1	111	rRNA_pseudogene	other
ENSG00000235606.3	527	processed_pseudogene	pseudogene
ENSG00000145425.9	5079	protein_coding	protein_coding
ENSG00000201264.1	71	snoRNA	other
ENSG00000109686.17	222881	protein_coding	protein_coding
ENSG00000208797.1	64	snoRNA	other
ENSG00000270681.1	1112	antisense	lncRNA
ENSG00000249012.2	3346	unprocessed_pseudogene	pseudogene
ENSG00000189099.11	14282	protein_coding	protein_coding
ENSG00000250350.1	162	unprocessed_pseudogene	pseudogene
ENSG00000252544.1	95	snRNA	other
ENSG00000270265.1	19449	lincRNA	lncRNA
ENSG00000251611.1	1284	lincRNA	lncRNA
ENSG00000164142.15	254416	protein_coding	protein_coding
ENSG00000253019.1	150	misc_RNA	other
ENSG00000251603.1	3278	antisense	lncRNA
ENSG00000278978.1	717	TEC	other
ENSG00000059691.11	90519	protein_coding	protein_coding
ENSG00000251455.1	3410	antisense	lncRNA
ENSG00000249184.1	1848	lincRNA	lncRNA
ENSG00000249708.1	3720	lincRNA	lncRNA
ENSG00000249818.1	23716	lincRNA	lncRNA
ENSG00000248991.1	24465	lincRNA	lncRNA
ENSG00000251249.1	13390	processed_transcript	lncRNA
ENSG00000253077.1	116	rRNA_pseudogene	other
ENSG00000245954.6	3966	lincRNA	lncRNA
ENSG00000250706.1	32188	lincRNA	lncRNA
ENSG00000251377.1	18449	lincRNA	lncRNA
ENSG00000244544.2	295	misc_RNA	other
ENSG00000270302.1	1700	lincRNA	lncRNA
ENSG00000270883.1	462	lincRNA	lncRNA
ENSG00000109670.14	215519	protein_coding	protein_coding
ENSG00000270751.1	443	antisense	lncRNA
ENSG00000264678.1	89	miRNA	miRNA
ENSG00000268471.6	2999	bidirectional_promoter_lncRNA	lncRNA
ENSG00000283792.1	88	miRNA	miRNA
ENSG00000243417.1	1087	processed_pseudogene	pseudogene
ENSG00000240669.1	458	processed_pseudogene	pseudogene
ENSG00000170006.11	61533	protein_coding	protein_coding
ENSG00000248571.1	3739	antisense	lncRNA
ENSG00000169989.2	10410	protein_coding	protein_coding
ENSG00000164144.15	138526	protein_coding	protein_coding
ENSG00000250980.1	768	processed_pseudogene	pseudogene
ENSG00000231841.1	761	processed_pseudogene	pseudogene
ENSG00000137460.8	43344	protein_coding	protein_coding
ENSG00000249022.1	56954	lincRNA	lncRNA
ENSG00000109654.14	186978	protein_coding	protein_coding
ENSG00000252030.1	93	snRNA	other
ENSG00000201786.1	101	misc_RNA	other
ENSG00000213406.3	925	processed_pseudogene	pseudogene
ENSG00000121211.7	70469	protein_coding	protein_coding
ENSG00000243883.3	286	misc_RNA	other
ENSG00000121210.15	170365	protein_coding	protein_coding
ENSG00000250771.2	41012	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000248208.1	1081	processed_pseudogene	pseudogene
ENSG00000137462.7	21632	protein_coding	protein_coding
ENSG00000145428.14	50110	protein_coding	protein_coding
ENSG00000249309.1	7395	antisense	lncRNA
ENSG00000145423.4	8528	protein_coding	protein_coding
ENSG00000280241.3	156697	antisense	lncRNA
ENSG00000197410.13	263828	protein_coding	protein_coding
ENSG00000278981.1	1618	antisense	lncRNA
ENSG00000280005.1	458	antisense	lncRNA
ENSG00000249200.1	461	processed_pseudogene	pseudogene
ENSG00000250609.1	1320	processed_pseudogene	pseudogene
ENSG00000171566.11	15429	protein_coding	protein_coding
ENSG00000200350.1	104	snRNA	other
ENSG00000248611.1	777	processed_pseudogene	pseudogene
ENSG00000171564.11	8130	protein_coding	protein_coding
ENSG00000171560.14	7640	protein_coding	protein_coding
ENSG00000171557.16	8833	protein_coding	protein_coding
ENSG00000121207.11	126173	protein_coding	protein_coding
ENSG00000249074.1	294	processed_pseudogene	pseudogene
ENSG00000249041.1	27117	antisense	lncRNA
ENSG00000249692.1	348	processed_pseudogene	pseudogene
ENSG00000151962.7	47600	protein_coding	protein_coding
ENSG00000222582.1	160	snRNA	other
ENSG00000252604.1	193	snRNA	other
ENSG00000250910.7	207978	antisense	lncRNA
ENSG00000250538.5	2498	antisense	lncRNA
ENSG00000185149.5	8449	protein_coding	protein_coding
ENSG00000249924.2	974	lincRNA	lncRNA
ENSG00000164114.18	34312	protein_coding	protein_coding
ENSG00000250205.1	197	processed_pseudogene	pseudogene
ENSG00000250398.1	995	processed_pseudogene	pseudogene
ENSG00000271606.1	140	unprocessed_pseudogene	pseudogene
ENSG00000249247.1	788	unprocessed_pseudogene	pseudogene
ENSG00000249770.1	518	unprocessed_pseudogene	pseudogene
ENSG00000248748.1	1754	unprocessed_pseudogene	pseudogene
ENSG00000248548.1	1361	unprocessed_pseudogene	pseudogene
ENSG00000249127.1	343	unprocessed_pseudogene	pseudogene
ENSG00000249698.1	780	unprocessed_pseudogene	pseudogene
ENSG00000248420.1	679	unprocessed_pseudogene	pseudogene
ENSG00000249386.1	693	unprocessed_pseudogene	pseudogene
ENSG00000251223.1	1533	unprocessed_pseudogene	pseudogene
ENSG00000248907.1	1030	unprocessed_pseudogene	pseudogene
ENSG00000251407.1	950	unprocessed_pseudogene	pseudogene
ENSG00000251244.1	1732	lincRNA	lncRNA
ENSG00000164116.16	65638	protein_coding	protein_coding
ENSG00000260244.1	2614	sense_overlapping	lncRNA
ENSG00000061918.12	48599	protein_coding	protein_coding
ENSG00000256394.2	36544	protein_coding	protein_coding
ENSG00000151790.8	65668	protein_coding	protein_coding
ENSG00000256043.2	29799	protein_coding	protein_coding
ENSG00000249013.1	510	processed_pseudogene	pseudogene
ENSG00000251511.1	4060	lincRNA	lncRNA
ENSG00000251283.1	7960	lincRNA	lncRNA
ENSG00000249479.1	989	antisense	lncRNA
ENSG00000248912.1	5972	lincRNA	lncRNA
ENSG00000145431.10	210940	protein_coding	protein_coding
ENSG00000248629.1	877	antisense	lncRNA
ENSG00000280284.1	385	TEC	other
ENSG00000278880.1	217	TEC	other
ENSG00000250622.1	325	processed_pseudogene	pseudogene
ENSG00000252350.1	321	ribozyme	other
ENSG00000252524.1	106	misc_RNA	other
ENSG00000109738.10	96033	protein_coding	protein_coding
ENSG00000199859.1	106	snRNA	other
ENSG00000120251.19	161893	protein_coding	protein_coding
ENSG00000249819.1	393	processed_pseudogene	pseudogene
ENSG00000234111.6	3664	lincRNA	lncRNA
ENSG00000249275.1	29357	lincRNA	lncRNA
ENSG00000200521.1	100	misc_RNA	other
ENSG00000249627.1	470	processed_pseudogene	pseudogene
ENSG00000279703.1	471	TEC	other
ENSG00000279994.1	825	TEC	other
ENSG00000250475.1	1203	unprocessed_pseudogene	pseudogene
ENSG00000279139.1	653	TEC	other
ENSG00000280140.1	570	TEC	other
ENSG00000164125.15	48844	protein_coding	protein_coding
ENSG00000248429.5	32125	antisense	lncRNA
ENSG00000251073.1	568	processed_pseudogene	pseudogene
ENSG00000250604.1	1337	antisense	lncRNA
ENSG00000164124.10	53807	protein_coding	protein_coding
ENSG00000251429.1	8298	transcribed_processed_pseudogene	pseudogene
ENSG00000171509.15	338061	protein_coding	protein_coding
ENSG00000199634.1	140	snRNA	other
ENSG00000248387.1	1116	processed_pseudogene	pseudogene
ENSG00000249901.1	19142	antisense	lncRNA
ENSG00000205208.4	5576	protein_coding	protein_coding
ENSG00000171503.11	37498	protein_coding	protein_coding
ENSG00000271817.2	218	snoRNA	other
ENSG00000171497.4	14262	protein_coding	protein_coding
ENSG00000052795.12	138911	protein_coding	protein_coding
ENSG00000206703.1	106	snRNA	other
ENSG00000164123.6	145626	protein_coding	protein_coding
ENSG00000274535.1	77	snoRNA	other
ENSG00000248988.1	716	processed_pseudogene	pseudogene
ENSG00000249367.1	388	processed_pseudogene	pseudogene
ENSG00000206978.1	101	misc_RNA	other
ENSG00000109756.9	257161	protein_coding	protein_coding
ENSG00000264105.1	92	miRNA	miRNA
ENSG00000283379.1	86	miRNA	miRNA
ENSG00000248552.1	223	processed_pseudogene	pseudogene
ENSG00000250180.1	2713	lincRNA	lncRNA
ENSG00000250488.1	111281	lincRNA	lncRNA
ENSG00000250997.1	482	processed_pseudogene	pseudogene
ENSG00000249425.1	47563	lincRNA	lncRNA
ENSG00000242635.2	447	processed_pseudogene	pseudogene
ENSG00000249568.1	9464	antisense	lncRNA
ENSG00000168843.13	780138	protein_coding	protein_coding
ENSG00000249419.1	24834	antisense	lncRNA
ENSG00000251253.1	1719	processed_pseudogene	pseudogene
ENSG00000248396.1	359	processed_pseudogene	pseudogene
ENSG00000248431.1	1380	lincRNA	lncRNA
ENSG00000251123.1	621	processed_pseudogene	pseudogene
ENSG00000283468.1	54	miRNA	miRNA
ENSG00000250027.1	11180	antisense	lncRNA
ENSG00000145414.8	56848	protein_coding	protein_coding
ENSG00000250547.1	1008	processed_pseudogene	pseudogene
ENSG00000164128.6	20871	protein_coding	protein_coding
ENSG00000164129.11	7995	protein_coding	protein_coding
ENSG00000227283.1	337	processed_pseudogene	pseudogene
ENSG00000151005.4	2653	protein_coding	protein_coding
ENSG00000198498.9	26097	protein_coding	protein_coding
ENSG00000145416.13	859752	protein_coding	protein_coding
ENSG00000273449.1	926	lincRNA	lncRNA
ENSG00000253001.1	313	misc_RNA	other
ENSG00000177803.7	656	processed_pseudogene	pseudogene
ENSG00000250746.1	2056	processed_pseudogene	pseudogene
ENSG00000248546.3	704	processed_pseudogene	pseudogene
ENSG00000251162.1	257	processed_pseudogene	pseudogene
ENSG00000223037.1	105	snRNA	other
ENSG00000248162.1	1396	processed_pseudogene	pseudogene
ENSG00000248771.5	49731	protein_coding	protein_coding
ENSG00000201050.1	106	snRNA	other
ENSG00000248329.5	21961	protein_coding	protein_coding
ENSG00000250227.1	1418	processed_pseudogene	pseudogene
ENSG00000244146.1	445	processed_pseudogene	pseudogene
ENSG00000285563.1	10153	lincRNA	lncRNA
ENSG00000221891.2	457	processed_pseudogene	pseudogene
ENSG00000270960.1	420	processed_pseudogene	pseudogene
ENSG00000248645.1	1668	unprocessed_pseudogene	pseudogene
ENSG00000121089.4	647	processed_pseudogene	pseudogene
ENSG00000236941.6	1359	processed_pseudogene	pseudogene
ENSG00000183439.7	23222	protein_coding	protein_coding
ENSG00000250486.4	2174	protein_coding	protein_coding
ENSG00000248632.1	1415	processed_pseudogene	pseudogene
ENSG00000248229.1	522	processed_pseudogene	pseudogene
ENSG00000250887.1	873	lincRNA	lncRNA
ENSG00000250712.1	1392	processed_pseudogene	pseudogene
ENSG00000240674.1	479	processed_pseudogene	pseudogene
ENSG00000176979.13	25286	protein_coding	protein_coding
ENSG00000276623.1	546	processed_pseudogene	pseudogene
ENSG00000250430.1	683	processed_pseudogene	pseudogene
ENSG00000249617.1	311	processed_pseudogene	pseudogene
ENSG00000250374.4	6690	protein_coding	protein_coding
ENSG00000170088.13	137941	protein_coding	protein_coding
ENSG00000109466.13	115538	protein_coding	protein_coding
ENSG00000200974.1	81	snRNA	other
ENSG00000229894.4	1867	protein_coding	protein_coding
ENSG00000052802.12	15537	protein_coding	protein_coding
ENSG00000109472.13	137126	protein_coding	protein_coding
ENSG00000207559.1	95	miRNA	miRNA
ENSG00000251596.1	2283	processed_pseudogene	pseudogene
ENSG00000248287.1	246	processed_pseudogene	pseudogene
ENSG00000248327.1	3528	processed_pseudogene	pseudogene
ENSG00000250725.2	1321	processed_pseudogene	pseudogene
ENSG00000249500.1	78139	lincRNA	lncRNA
ENSG00000038295.7	230637	protein_coding	protein_coding
ENSG00000252959.1	100	rRNA_pseudogene	other
ENSG00000206711.1	99	misc_RNA	other
ENSG00000249675.1	137418	lincRNA	lncRNA
ENSG00000196104.10	501412	protein_coding	protein_coding
ENSG00000212373.1	114	rRNA_pseudogene	other
ENSG00000250150.1	1879	lincRNA	lncRNA
ENSG00000240772.3	267	misc_RNA	other
ENSG00000248913.1	366	processed_pseudogene	pseudogene
ENSG00000222721.1	316	misc_RNA	other
ENSG00000270336.1	408	processed_pseudogene	pseudogene
ENSG00000248601.1	166657	antisense	lncRNA
ENSG00000109511.11	95175	protein_coding	protein_coding
ENSG00000137628.16	102514	protein_coding	protein_coding
ENSG00000181381.13	181051	protein_coding	protein_coding
ENSG00000207171.1	130	snoRNA	other
ENSG00000129116.18	431391	protein_coding	protein_coding
ENSG00000229226.3	517	processed_pseudogene	pseudogene
ENSG00000249623.1	691	antisense	lncRNA
ENSG00000206613.1	108	snRNA	other
ENSG00000214676.4	566	processed_pseudogene	pseudogene
ENSG00000249609.1	4018	antisense	lncRNA
ENSG00000279384.1	747	TEC	other
ENSG00000145439.11	146505	protein_coding	protein_coding
ENSG00000201176.1	106	snRNA	other
ENSG00000201818.1	95	misc_RNA	other
ENSG00000251445.1	509	antisense	lncRNA
ENSG00000154447.14	176849	protein_coding	protein_coding
ENSG00000214671.4	845	processed_pseudogene	pseudogene
ENSG00000251171.1	18555	antisense	lncRNA
ENSG00000137601.16	219772	protein_coding	protein_coding
ENSG00000109572.13	111040	protein_coding	protein_coding
ENSG00000056050.6	28488	protein_coding	protein_coding
ENSG00000229204.3	481	processed_pseudogene	pseudogene
ENSG00000248625.1	710	processed_pseudogene	pseudogene
ENSG00000248319.1	58141	lincRNA	lncRNA
ENSG00000251200.1	17353	antisense	lncRNA
ENSG00000249955.1	12059	antisense	lncRNA
ENSG00000198948.11	46434	protein_coding	protein_coding
ENSG00000109576.13	31477	protein_coding	protein_coding
ENSG00000248822.1	286	processed_pseudogene	pseudogene
ENSG00000248739.1	1240	processed_pseudogene	pseudogene
ENSG00000250266.1	9160	lincRNA	lncRNA
ENSG00000251061.2	29222	lincRNA	lncRNA
ENSG00000250082.1	500	processed_pseudogene	pseudogene
ENSG00000181359.5	23980	transcribed_processed_pseudogene	pseudogene
ENSG00000250968.1	1249	lincRNA	lncRNA
ENSG00000249943.1	209	processed_pseudogene	pseudogene
ENSG00000251961.1	130	snRNA	other
